Territory,Topic,Category,Location,Impact,Reference,Units,Value
Afghanistan,Water Pollution,Se(IV),Unspecified,Health,Water Pollution_Se(IV)_Unspecified_Health,$/kg,0.00
Afghanistan,Water Pollution,Tl(I),Freshwaster,Health,Water Pollution_Tl(I)_Freshwaster_Health,$/kg,102.09
Afghanistan,Water Pollution,Tl(I),Seawater,Health,Water Pollution_Tl(I)_Seawater_Health,$/kg,5.11
Afghanistan,Water Pollution,Tl(I),Unspecified,Health,Water Pollution_Tl(I)_Unspecified_Health,$/kg,102.09
Afghanistan,Water Pollution,V(V),Freshwaster,Health,Water Pollution_V(V)_Freshwaster_Health,$/kg,19.52
Afghanistan,Water Pollution,V(V),Seawater,Health,Water Pollution_V(V)_Seawater_Health,$/kg,1.24
Afghanistan,Water Pollution,V(V),Unspecified,Health,Water Pollution_V(V)_Unspecified_Health,$/kg,19.52
Afghanistan,Water Pollution,Zn(II),Freshwaster,Health,Water Pollution_Zn(II)_Freshwaster_Health,$/kg,2.53
Afghanistan,Water Pollution,Zn(II),Seawater,Health,Water Pollution_Zn(II)_Seawater_Health,$/kg,2.39
Afghanistan,Water Pollution,Zn(II),Unspecified,Health,Water Pollution_Zn(II)_Unspecified_Health,$/kg,2.53
Afghanistan,Water Pollution,"1,2-dichlorobenzene",Freshwaster,Health,"Water Pollution_1,2-dichlorobenzene_Freshwaster_Health",$/kg,0.04
Afghanistan,Water Pollution,"1,2-dichlorobenzene",Seawater,Health,"Water Pollution_1,2-dichlorobenzene_Seawater_Health",$/kg,0.00
Afghanistan,Water Pollution,"1,2-dichlorobenzene",Unspecified,Health,"Water Pollution_1,2-dichlorobenzene_Unspecified_Health",$/kg,0.04
Afghanistan,Water Pollution,"1,2-dichloroethane",Freshwaster,Health,"Water Pollution_1,2-dichloroethane_Freshwaster_Health",$/kg,13.10
Afghanistan,Water Pollution,"1,2-dichloroethane",Seawater,Health,"Water Pollution_1,2-dichloroethane_Seawater_Health",$/kg,0.12
Afghanistan,Water Pollution,"1,2-dichloroethane",Unspecified,Health,"Water Pollution_1,2-dichloroethane_Unspecified_Health",$/kg,13.10
Afghanistan,Water Pollution,"1,2-DIMETHYL-5-NITRO-1H-IMIDAZOLE",Freshwaster,Health,"Water Pollution_1,2-DIMETHYL-5-NITRO-1H-IMIDAZOLE_Freshwaster_Health",$/kg,32.32
Afghanistan,Water Pollution,"1,2-DIMETHYL-5-NITRO-1H-IMIDAZOLE",Seawater,Health,"Water Pollution_1,2-DIMETHYL-5-NITRO-1H-IMIDAZOLE_Seawater_Health",$/kg,0.00
Afghanistan,Water Pollution,"1,2-DIMETHYL-5-NITRO-1H-IMIDAZOLE",Unspecified,Health,"Water Pollution_1,2-DIMETHYL-5-NITRO-1H-IMIDAZOLE_Unspecified_Health",$/kg,32.32
Afghanistan,Water Pollution,"1,3-Dichloropropene",Freshwaster,Health,"Water Pollution_1,3-Dichloropropene_Freshwaster_Health",$/kg,17.80
Afghanistan,Water Pollution,"1,3-Dichloropropene",Seawater,Health,"Water Pollution_1,3-Dichloropropene_Seawater_Health",$/kg,2.83
Afghanistan,Water Pollution,"1,3-Dichloropropene",Unspecified,Health,"Water Pollution_1,3-Dichloropropene_Unspecified_Health",$/kg,17.80
